"fert_name","Monfreda_name","FAOSTAT_item_name","FAOSTAT_item_code","LUH2_crop_type","LPJmL_name","comment"
,"abaca","Manila fibre (abaca)",809,"c3ann","other crops",
,"agave","Agave fibres nes",800,"c3per","other crops",
"alfalfa","alfalfa",,,"c3nfx","other crops",
"almond","almond","Almonds, with shell",221,"c3per","other crops",
,"aniseetc","Anise, badian, fennel, coriander",711,"c3ann","other crops",
"apple","apple","Apples",515,"c3per","other crops",
"apricot","apricot","Apricots",526,"c3per","other crops",
,"areca","Areca nuts",226,"c3per","other crops",
"artichoke","artichoke","Artichokes",366,"c3ann","other crops",
"asparagus","asparagus","Asparagus",367,"c3ann","other crops",
"avocado","avocado","Avocados",572,"c3per","other crops",
,"bambara","Bambara beans",203,"c3nfx","pulses",
"banana","banana","Bananas",486,"c3per","other crops",
"barley","barley","Barley",44,"c3ann","temperate cereals",
"bean","bean","Beans, dry",176,"c3nfx","pulses",
"beetfor","beetfor",,,"c3ann","temperate roots",
"berrynes","berrynes","Berries nes",558,"c3per","other crops",
"blueberry","blueberry","Blueberries",552,"c3per","other crops",
,"brazil","Brazil nuts, with shell",216,"c3per","other crops",
"broadbean","broadbean","Broad beans, horse beans, dry",181,"c3nfx","pulses",
"buckwheat","buckwheat","Buckwheat",89,"c3ann","other crops",
"cabbage","cabbage","Cabbages and other brassicas",358,"c3ann","other crops",
"cabbagefor","cabbagefor",,,"c3ann","other crops",
"canaryseed","canaryseed","Canary seed",101,"c3ann","other crops",
"carob","carob","Carobs",461,"c3per","other crops",
"carrot","carrot","Carrots and turnips",426,"c3ann","temperate roots",
,"carrotfor",,,"c3ann","temperate roots",
,"cashew","Cashew nuts, with shell",217,"c3per","other crops",
"cashewapple","cashewapple","Cashewapple",591,"c3per","other crops",
"cassava","cassava","Cassava",125,"c3ann","tropical roots",
"castor","castor","Castor oil seed",265,"c3ann","other crops",
"cauliflower","cauliflower","Cauliflowers and broccoli",393,"c3ann","other crops",
"cerealnes","cerealnes","Cereals, nes",108,"c3ann","other crops",
"cherry","cherry","Cherries",531,"c3per","other crops",
"chestnut","chestnut","Chestnut",220,"c3per","other crops",
"chickpea","chickpea","Chick peas",191,"c3nfx","pulses",
,"chicory","Chicory roots",459,"c3ann","other crops",
"chilietc","chilleetc","Chillies and peppers, green",401,"c3ann","other crops",
,"cinnamon","Cinnamon (canella)",693,"c3per","other crops",
"citrusnes","citrusnes","Fruit, citrus nes",512,"c3per","other crops",
,"clove","Cloves",698,"c3per","other crops",
"clover","clover",,,"c3nfx","other crops",
"cocoa","cocoa","Cocoa, beans",661,"c3per","other crops",
"coconut","coconut","Coconuts",249,"c3per","other crops",
"coffee","coffee","Coffee, green",656,"c3per","other crops",
,"coir","Coir",813,"c3per","other crops",
"cotton","cotton","Seed cotton",328,"c3ann","other crops",
"cowpea","cowpea","Cow peas, dry",195,"c3nfx","pulses",
"cranberry","cranberry","Cranberries",554,"c3per","other crops",
"cucumberetc","cucumberetc","Cucumbers and gherkins",397,"c3ann","other crops",
"currant","currant","Currants",550,"c3per","other crops",
"date","date","Dates",577,"c3per","other crops",
"eggplant","eggplant","Eggplants (aubergines)",399,"c3ann","other crops",
,"fibrenes","Fibre crops nes",821,"c3ann","other crops",
"fig","fig","Figs",569,"c3per","other crops",
"flax","flax","Flax fibre and tow",773,"c3ann","other crops",
,"fonio","Fonio",94,"c4ann","tropical cereals",
"fornes","fornes",,,"c3ann","other crops",
"fruitnes","fruitnes","Fruit, fresh nes",619,"c3per","other crops",
"garlic","garlic","Garlic",406,"c3ann","other crops",
,"ginger","Ginger",720,"c3ann","other crops",
"gooseberry","gooseberry","Gooseberries",549,"c3per","other crops",
"grape","grape","Grapes",560,"c3per","other crops",
"grapefruitetc","grapefruitetc","Grapefruit (inc. pomelos)",507,"c3per","other crops",
"grassnes","grassnes",,,"c3ann","other crops",
"greenbean","greenbean","Beans, green",414,"c3nfx","pulses",
"greenbroadbean","greenbroadbean","Vegetables, leguminous nes",420,"c3nfx","pulses",
"greencorn","greencorn","Maize, green",446,"c4ann","maize",
"greenonion","greenonion","Onions, shallots, green",402,"c3ann","other crops",
"greenpea","greenpea","Peas, green",417,"c3nfx","pulses",
"groundnut","groundnut","Groundnuts, with shell",242,"c3nfx","oil crops groundnut",
,"gums","Gums, natural",839,"c3per","other crops",
"hazelnut","hazelnut","Hazelnuts, with shell",225,"c3per","other crops",
"hemp","hemp","Hemp tow waste",777,"c3ann","other crops",
"hempseed","hempseed","Hempseed",336,"c3ann","other crops",
"hop","hop","Hops",677,"c3ann","other crops",
"jute","jute","Jute",780,"c3ann","other crops",
"jutelikefiber","jutelikefiber","Bastfibres, other",782,"c3ann","other crops",
,"kapokfiber","Kapok fibre",778,"c3per",,"harvested area time series usually has Kapok fruit"
,"kapokseed","Kapokseed in shell",311,"c3per",,"harvested area time series usually has Kapok fruit"
,"karite","Karite nuts (sheanuts)",263,"c3per","other crops",
"kiwi","kiwi","Kiwi fruit",592,"c3per","other crops",
,"kolanut","Kola nuts",224,"c3per","other crops",
"legumenes","legumenes",,,"c3nfx","other crops",
"lemonlime","lemonlime","Lemons and limes",497,"c3per","other crops",
"lentil","lentil","Lentils",201,"c3nfx","pulses",
"lettuce","lettuce","Lettuce and chicory",372,"c3ann","other crops",
"linseed","linseed","Linseed",333,"c3ann","other crops",
"lupin","lupin","Lupins",210,"c3nfx","pulses",
"maize","maize","Maize",56,"c4ann","maize",
"maizefor","maizefor",,,"c4ann","maize",
"mango","mango","Mangoes, mangosteens, guavas",571,"c3per","other crops",
,"mate","Maté",671,"c3per","other crops",
"melonetc","melonetc","Melons, other (inc.cantaloupes)",568,"c3ann","other crops",
,"melonseed","Melonseed",299,"c3ann","other crops",
"millet","millet","Millet",79,"c4ann","tropical cereals",
"mixedgrain","mixedgrain","Grain, mixed",103,"c3ann","other crops",
"mixedgrass","mixedgrass",,,"c3ann","other crops",
