"FAOSTAT_name","LPJmL_name","comments"
"Almonds, with shell","Others, perennial",
"Anise, badian, fennel, coriander","Others, annual",
"Apples","Others, perennial",
"Apricots","Others, perennial",
"Barley","temperate cereals",
"Berries nes","Others, perennial","Others annual in MIRCA"
"Figs","Others, perennial",
"Fruit, citrus nes","Others, perennial",
"Fruit, fresh nes","Others, perennial",
"Fruit, stone nes","Others, perennial",
"Grapes","Others, perennial",
"Linseed","Others, annual",
"Maize","maize",
"Melons, other (inc.cantaloupes)","Others, annual",
"Millet","tropical cereals",
"Nuts nes","Others, perennial",
"Olives","Others, perennial",
"Onions, dry","Others, annual",
"Oranges","Others, perennial",
"Peaches and nectarines","Others, perennial",
"Pears","Others, perennial",
"Pistachios","Others, perennial",
"Plums and sloes","Others, perennial",
"Potatoes","temperate roots",
"Pulses nes","pulses",
"Rice, paddy","rice",
"Seed cotton","Others, annual",
"Sesame seed","Others, annual",
"Spices nes","Others, annual",
"Sugar beet","temperate roots",
"Sugar cane","sugarcane",
"Sunflower seed","oil crops sunflower",
"Vegetables, fresh nes","Others, annual",
"Walnuts, with shell","Others, perennial",
"Watermelons","Others, annual",
"Wheat","temperate cereals",
"Beans, dry","pulses",
"Beans, green","pulses","Others annual in MIRCA"
"Broad beans, horse beans, dry","pulses",
"Cabbages and other brassicas","Others, annual",
"Carrots and turnips","temperate roots",
"Cauliflowers and broccoli","Others, annual",
"Cherries","Others, perennial",
"Cherries, sour","Others, perennial",
"Chestnut","Others, perennial",
"Chillies and peppers, green","Others, annual",
"Cucumbers and gherkins","Others, annual",
"Dates","Others, perennial",
"Eggplants (aubergines)","Others, annual",
"Garlic","Others, annual",
"Hops","Others, annual",
"Leeks, other alliaceous vegetables","Others, annual","not in Monfreda/MIRCA"
"Lemons and limes","Others, perennial",
"Lettuce and chicory","Others, annual",
"Mushrooms and truffles","Others, annual",
"Oats","Others, annual","switch to temperate cereals?"
"Okra","Others, annual",
"Onions, shallots, green","Others, annual",
"Peas, green","pulses","Others annual in MIRCA"
"Pumpkins, squash and gourds","Others, annual",
"Quinces","Others, perennial",
